Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Surface réelle bati, Surface terrain
2014,Vente,440000,1,PAS,ROBERT PICQUE,33000,1,170,65
2014,Vente,191000,112,RUE,ETCHENIQUE,33200,1,60,123
2014,Vente,240000,66,RUE,PETIT PARC,33200,1,49,266
2014,Vente,466000,108,RUE,DES ORANGERS,33200,1,158,687
2014,Vente,466000,108,RUE,DES ORANGERS,33200,1,158,511
2014,Vente,375000,3,RUE,CLAUDE DEBUSSY,33200,1,100,503
2014,Vente,384007,66,RUE,DE CAPEYRON CAUD,33200,1,110,197
2014,Vente,250000,8,RUE,CHARLES BAUDELAIRE,33200,1,61,373
2014,Vente,200000,56,RUE,DES LIEGES,33200,1,60,428
2014,Vente,523000,89,RUE,MONTGOLFIER,33000,1,160,181
2014,Vente,190000,21,RUE,DUPLEIX,33300,1,68,183
2014,Vente,409000,68,RUE,CEREY,33200,1,80,493
2014,Vente,680000,91,RUE,DE LA COURSE,33000,1,186,158
2014,Vente,920000,14,RUE,ROBOREL DE CLIMENS,33000,1,177,318
2014,Vente,147650,42,RUE,GENERAL CASTELNAU,33200,1,35,137
2014,Vente,147650,42,RUE,GENERAL CASTELNAU,33200,1,63,137
2014,Vente,427000,5,RUE,LUCKNER,33000,2,31,114
2014,Vente,427000,5,RUE,LUCKNER,33000,2,40,114
2014,Vente,427000,5,RUE,LUCKNER,33000,2,48,114
2014,Vente,330000,165,RUE,MONDENARD,33000,1,80,124
2014,Vente,730000,9,RUE,LOUIS SABOURIN,33200,1,160,719
2014,Vente,140500,5,RUE,DE LEYBARDIE,33300,1,92,91
2014,Vente,760000,53,RUE,LAGRANGE,33000,1,95,483
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,3,0,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,3,0,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,2,60,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,2,80,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,2,50,181
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,45,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,30,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,25,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,45,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,40,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,36,164
2014,Vente,590000,19,RUE,CHAUFFOUR,33000,1,165,167
2014,Vente,630000,39,RUE,CHARLES MONSELET,33000,1,270,348
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,4,55,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,102,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,82,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,77,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,81,123
2014,Vente,321000,41,RUE,FRANCOIS MARCEAU,33200,1,100,186
2014,Vente,521200,7,RUE,DE NADEAU,33200,1,16,90
2014,Vente,1137500,25,RUE,DU SACRE COEUR CAUD,33200,1,257,902
2014,Vente,1137500,25,RUE,DU SACRE COEUR CAUD,33200,1,257,235
2014,Vente,455000,156,RUE,JUDAIQUE,33000,1,200,139
2014,Vente,720000,24,RUE,DU TEMPS PASSE,33000,1,68,204
2014,Vente,341470,17,RUE,JULES BETBEDER,33200,1,110,194
2014,Vente,168750,11,RUE,CONRAD GAUSSEN,33300,1,130,224
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,0,3992
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,0,1000
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,2075,3992
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,2075,1000
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,2,45,1000
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,2,45,3992
2014,Vente,160000,4,RUE,LOUIS BEYDTS,33300,1,90,116
2014,Vente,509000,74,RUE,DE SOISSONS,33000,1,169,209
2014,Vente,400000,37,RUE,DE COLMAR,33000,1,133,184
2014,Vente,355600,3,RUE,COLBERT,33000,1,78,58
2014,Vente,237000,1,ALL,BLERIOT,33200,1,61,414
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,36,118
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,29,118
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,30,118
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,27,118
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,2,70,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,3,0,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,3,0,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,3,0,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,2,70,83
2014,Vente,200000,133,RUE,JOSEPH BRUNET,33300,1,70,115
2014,Vente,200000,33,RUE,BARILLET DESCHAMPS,33300,1,60,94
2014,Vente,200000,57,RUE,LEON BLUM,33300,1,60,105
2014,Vente,200000,49,RUE,FRANCIS JAMMES,33300,1,72,106
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,70,131
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,70,131
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,70,131
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,70,131
2014,Vente,300000,15,AV,DE LABARDE,33300,2,45,457
2014,Vente,300000,15,AV,DE LABARDE,33300,2,22,457
2014,Vente,300000,15,AV,DE LABARDE,33300,2,36,457
2014,Vente,300000,15,AV,DE LABARDE,33300,4,36,457
2014,Vente,300000,15,AV,DE LABARDE,33300,2,28,457
2014,Vente,260000,7,RUE,JEROME MAUVIGNEY,33200,1,62,165
2014,Vente,176700,19,RUE,DES PELOURDES,33300,1,50,206
2014,Vente,149500,70,CHE,LAFITTE,33300,1,120,390
2014,Vente,149500,70,CHE,LAFITTE,33300,3,0,390
2014,Vente,421900,99,AV,ALSACE LORRAINE,33200,1,95,122
2014,Vente,616600,6,RUE,DE L ILE,33200,1,190,591
2014,Vente,424000,12,RUE,ETIENNE LHOSTE,33200,1,119,128
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,80,106
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,80,106
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,16,106
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,51,106
2014,Vente,380000,54,RUE,DE CAPEYRON CAUD,33200,1,80,241
2014,Vente,925500,21,RUE,ERNEST BERSOT,33000,1,200,171
2014,Vente,293000,362,RUE,PASTEUR,33200,1,110,444
2014,Vente,370000,21,RUE,HANAPPIER,33200,1,50,109
2014,Vente,297400,62,RUE,D AUBIDEY,33800,1,120,134
2014,Vente,578000,29,RUE,TOURAT,33000,1,200,101
2014,Vente,256000,46,RUE,CHEVALIER,33000,1,65,95
2014,Vente,285700,19,RUE,CALENDRIN CAUD,33200,1,79,286
2014,Vente,397300,11,RUE,PIERRE LOTI,33800,1,105,139
2014,Vente,307000,176,RUE,BERNARD ADOUR CAUD,33200,1,43,118
2014,Vente,307000,176,RUE,BERNARD ADOUR CAUD,33200,1,68,272
2014,Vente,700000,284,RUE,JUDAIQUE,33000,2,65,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,1,113,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,2,79,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,4,104,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,4,106,270
2014,Vente,1500000,50,ALL,DE TOURNY,33000,2,153,185
2014,Vente,1500000,50,ALL,DE TOURNY,33000,4,300,185
2014,Vente,1500000,50,ALL,DE TOURNY,33000,2,242,185
2014,Vente,1500000,50,ALL,DE TOURNY,33000,4,126,185
2014,Vente,568450,88,RUE,DE SOISSONS,33000,1,187,193
2014,Vente,560000,91,RUE,MONDENARD,33000,1,195,162
2014,Vente,257500,8,RUE,J JACQUES ROUSSEAU CAUD,33200,1,52,352
2014,Vente,480000,8,RUE,ALFRED GRIMAL CAUD,33200,1,146,988
2014,Vente,912000,230,RUE,CAMILLE GODARD,33000,4,790,836
2014,Vente,912000,230,RUE,CAMILLE GODARD,33000,2,60,836
2014,Vente,169000,17,RUE,PIERRE BROSSOLETTE,33200,1,54,217
2014,Vente,101500,355,AV,D ARES,33200,1,20,38
2014,Vente,230000,59,RUE,FAMATINA,33200,1,60,144
2014,Vente,450000,8,RUE,PIERRE NOGUEY,33000,1,106,216
2014,Vente,165000,257,RUE,DE TURENNE,33000,1,47,52
